,ID,Name,Park Code,Latitude,Longitude,Number Of Sites Reservable,Number Of Sites First Come First Serve,Accessibility Classifications,Cost,Zip,City
130,849C892E-19ED-4539-8591-CF2D1670D380,City of Rocks Campground,ciro,42.067203,-113.701382,67,6,['Limited Development Campground'],14.0,83312,Almo
131,E9451131-5026-4E61-B72E-F385A0C6AC48,Cliffs Group Backpacking Site,piro,46.48567,-86.556577,1,0,[],5.0,,
132,B9D839A2-7500-4CFC-9EB7-1A1C8F7B7425,Cliffs Individual Backpacking Sites,piro,46.473431,-86.570456,3,0,[],5.0,,
133,79EC784A-70FD-4C73-BD0E-C5D0C96F4F57,Cloverleaf Campground,laro,48.297110973764575,-118.14685853299346,7,0,['Limited Development Campground'],23.0,99131,Gifford
134,6EBE4D11-5079-45B7-BDA5-84280A8EE7DF,Coast Campground,pore,38.01717280583828,-122.85437534114334,13,1,['Designated Primitive Campsites'],30.0,94956,Point Reyes Station
135,E43BEB8F-1EE3-4CDD-88EB-ED8262628F95,Cold Springs Campground,seki,36.45130196165861,-118.61241063028548,40,0,['Designated Primitive Campsites'],28.0,93271,Sequoia National Park
136,70748762-AEEB-4057-82DD-B0509183305A,Cold Springs Campground,chic,34.5007809022,-96.9604327557,65,0,[],14.0,,
137,1410EA4F-FA47-40E0-9C51-B7C012EFD228,Colonial Creek North Campground,noca,48.691,-121.101,44,0,['Developed Campground'],24.0,98284,Sedro-Woolley
138,24D589C4-88AF-4BFA-8A02-1FF9E8134B04,Colonial Creek South Campground,noca,48.687,-121.094,91,0,['Developed Campground'],24.0,98284,Sedro-Woolley
139,3DC83C15-25CE-488E-816B-64FEBB1F79FF,Colorado River Primitive Camping Between Glen Canyon Dam and Lees Ferry,glca,36.86618866356771,-111.586686295785,0,5,['Designated Primitive Campsites'],0.0,86040,Page
140,35B51EB0-EB3E-4C41-9753-2C97CFDDAD93,Colter Bay Campground,grte,43.9074780505115,-110.641378983075,347,0,['Developed Campground'],50.0,83013,Moran
141,2E829940-0ECC-49A7-85FB-F0AE8D45EBA0,Colter Bay RV Park,grte,43.905642,-110.641324,112,0,['Developed Campground'],112.0,83013,Moran
142,DF1FBE98-BC80-4770-84A3-F207D1F8A27A,Colter Bay Tent Village,grte,43.90415026510925,-110.63494741916656,66,0,['Developed Campground'],98.0,83013,Moran
143,B3B0C4BD-BB79-40AA-B678-B953294BB9A3,Cosby Campground,grsm,35.7545448462525,-83.20925027349114,157,0,['Developed Campground'],30.0,37722,Cosby
144,9B5A7B2B-E147-429F-B52F-EDBF1B48EBB0,Cottonwood Campground,jotr,33.744880129561544,-115.81282987420816,62,0,['Developed Campground'],25.0,92277,Cottonwood Springs
145,A9F2297C-AFF2-48EA-BD2A-2BBE35BDE306,Cottonwood Campground,thro,46.949934505,-103.531268589,37,36,['Developed Campground'],14.0,,
146,D7143083-B16F-45C0-8493-E717CEDA7C3B,Cottonwood Campground,bibe,29.13678040347906,-103.52251396165582,22,0,['Limited Development Campground'],16.0,,
147,B6682425-0D1C-4646-846F-1C0E248CBCFA,Cottonwood Cove Campground (Lake Mohave),lake,35.487755719796056,-114.69503347257717,45,0,[],,,
148,7260C786-CEE8-46B2-9C76-DC0828B7E468,Cottonwood Cove RV Park (Lake Mead),lake,35.49080255042127,-114.68835234952483,0,0,[],,,
149,9D67A3A2-CFAB-45A1-8E9E-5A19DE56137F,Cougar Rock Campground,mora,46.767606803,-121.792370845,133,46,['Developed Campground'],20.0,,
150,894E2817-C7C9-48DA-BABF-3C1679567835,Coves Group Backpacking Site,piro,46.56088,-86.395902,1,0,[],5.0,,
151,A451A935-35BF-4391-96E5-B9C8D492FCFE,Coves Individual Backpacking Sites,piro,46.568171,-86.372254,5,0,[],5.0,,
152,B7FFF416-1181-4457-931B-6F9920C0EFE7,Crabtree Falls Campground,blri,35.815386045639634,-82.14556897298166,27,54,['Developed Campground'],20.0,28777,Spruce Pine
153,B1396AAB-EA01-4A6C-B45E-A9BBA51A89A1,Crane Flat Campground,yose,37.7497960831966,-119.800258983341,151,0,['Developed Campground'],36.0,,
154,4A67F766-D8C0-451B-86AD-CD7DD878EB80,Crystal Creek,whis,40.6422,-122.6710333,2,0,['Limited Development Campground'],20.0,96095,Whiskeytown
155,6D44AAC6-2A52-416E-8087-6202B8AD52BB,Crystal Springs Campground,seki,36.74532774271368,-118.9629581339243,50,0,['Limited Development Campground'],28.0,93633,Grant Grove
156,4FA8CCF3-5D38-41C0-A77F-06ADCB37BA53,Cumberland Valley Hiker-Biker Campsite,choh,39.562141,-77.853069,0,1,['Primitive Camping Areas'],0.0,21795,Williamsport
157,4624D185-108D-460F-9331-5EC95512BEC7,Cut Bank,glac,48.6059915915,-113.376949654,0,14,[],10.0,59936,
158,70336B82-9090-4BFA-8D3D-47BDC91F4542,D. H. Day Campground,slbe,44.89615,-86.02006,88,0,['Developed Campground'],20.0,49636,Glen Arbor
159,FD182876-4CAF-4630-8E88-0B710A434AE4,D. H. Day Campground Group Campground,slbe,44.89615,-86.02006,4,0,['Limited Development Campground'],40.0,49636,Glen Arbor
160,808BBAC7-F662-47F6-B2BC-2BEF78B73A69,Daisy Farm Campground,isro,48.09208065079491,-88.59622128173942,3,22,['Limited Development Campground'],0.0,49931,Houghton
161,E33743CA-5B4A-4DC6-84D8-BCA4984BFE67,Davis Bayou Campground,guis,30.397808,-88.795595,52,0,['Developed Campground'],22.0,39564,Ocean Springs
162,A7C0F001-EDB5-4832-BB9A-5DF82A4EC57A,Dayboard 9 Campground,bica,45.2651648,-108.0028519,0,5,['Designated Primitive Campsites'],0.0,59035,Fort Smith
163,2266A16D-7440-4B19-840A-B8B570FFF31F,Deep Creek Campground,grsm,35.46031234620795,-83.43466297423731,92,0,['Developed Campground'],30.0,28713,Bryson City
164,522A398C-D05C-4F67-B1E4-E4F8DF7ED18D,Deerlodge Park Campground,dino,40.4464807631185,-108.5133041338832,0,7,['Limited Development Campground'],10.0,81610,Dinosaur
165,889D3F1F-C595-40D2-B66B-5DA52128DB6A,Desert View Campground (Reservations Required),grca,36.03893681571232,-111.82260877399584,49,0,['Limited Development Campground'],18.0,86023,Grand Canyon
166,F41195B6-57A5-43FA-9509-CE4AE75FFA95,Devils Alley Hiker-Biker Campsite,choh,39.622156,-78.411328,0,1,['Primitive Camping Areas'],0.0,21766,Little Orleans
167,FE998695-1CD4-42C2-A57C-0B8B257BBE09,Devils Garden Campground,arch,38.7773329174,-109.588799042,51,0,['Limited Development Campground'],25.0,84532,Moab
168,DC29D4FD-0E76-41AF-8A2E-74FA3626C3EF,Dingmans Campground,dewa,41.2110633,-74.8736983995,136,136,['Developed Campground'],,18328,Dingmans Ferry
169,C46D4DBB-5B16-4F5A-BBFA-34C350639B98,Dog Canyon Campground,gumo,31.9948983481,-104.832847248,15,0,[],20.0,79847,Salt Flat
170,E2472655-E82D-4C38-A9B6-0C374BEE7828,Dorst Creek Campground,seki,36.636171213229,-118.80850264793725,202,0,['Developed Campground'],28.0,93262,Sequoia National Park
171,85AB5EC6-9BBC-4369-9CFA-A51A6D4498A0,Dosewallips Campground (Walk-In Only),olym,47.7373029,-123.1647009,0,14,['Primitive Camping Areas'],15.0,98362,Port Angeles
172,298C9FE2-25B3-4A60-BE23-76E43A703FC5,Doughton Park Campground,blri,36.42949264609475,-81.15577587281024,31,77,['Developed Campground'],20.0,28644,Laurel Springs
173,AC12C7C9-38CD-4F10-828D-8C903F1C7926,Douglas Spring,sagu,32.227981,-110.606875,0,0,[],,85730,Tucson
174,4C4E2EBD-9A3D-4E59-A7D8-1E68EB5EA501,Dry Creek Group Campground,whis,40.6253167,-122.5807,2,0,['Developed Campground'],80.0,,
175,1D41C0D1-7DA9-44AE-8692-12A63255B0D6,Dry Gulch Campground,cure,38.4841144836276,-107.188437346818,0,0,['Limited Development Campground'],16.0,,
